Langevin with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<T> [K]	sigma_T [K]	<P> [MPa]	sigma_P [MPa]
3e7	run23	300.092455644	19.974915263	30.0048463077	559.997504398
3e7	run24	300.098135701	19.9399773925	30.0512917765	521.233496425
3e7	run25	300.178918674	20.4469673329	29.8997041462	538.947049662
1e8	run1	300.136721496	20.0482694809	99.912327351	554.313386341
1e8	run2	300.04740802	19.9127920686	99.9727506321	558.97256076
1e8	run3	300.185445341	20.1236901973	99.9297947865	544.498503866
1e8	run4	299.985411792	20.0700033862	100.051171506	561.823213342
1e8	run5	299.91070136	20.0479983321	100.066727326	550.059056259
1e8	run6	299.99752462	19.9047929882	100.008305483	562.367262893
1e8	run7	300.210215725	20.1325036224	99.7495324829	544.581323132
1e8	run8	300.129670193	19.9934577069	99.8986520124	574.256521208
1e8	run9	300.107206736	20.1022947617	99.8050844857	540.241186561
1e8	run10	300.082536342	19.9343443664	100.005475233	541.552313538
1e8	run11	300.1490428	20.0385512639	99.7646621802	561.742117712
1e8	run12	300.193476709	19.97356378	100.156788485	550.696991821
1e8	run13	299.944531172	20.1554175854	100.084273911	575.157591385
1e8	run14	300.198196056	19.9602411479	99.9326763643	535.749528386
1e8	run15	300.14878275	19.9173689295	99.9853978159	542.353997033
1e8	run16	299.942971785	19.9233618445	100.091116016	564.58781744
1e8	run17	300.223587156	20.1791980212	100.050726108	587.450772646
1e8	run18	300.113131518	20.0456160229	99.9570928765	539.379392418
1e8	run19	299.926536588	19.9754411257	99.959262859	541.607618472
1e8	run20	300.066294285	20.0442847239	100.018092711	549.017315713
1e8	run21	300.11000578	19.936807416	99.9495985169	540.449384132
1e8	run22	299.992908981	20.0343221885	99.9682596287	564.088285775
1e8	run23	300.038643603	19.9960077362	99.8812592014	547.017950836
1e8	run24	300.207652992	19.9520072174	100.009423723	558.187466507
1e8	run25	299.955788966	20.0426670491	100.026487016	584.291064662
1e6	run26	300.097410616	20.1282470291	1.01723995109	533.410029587
1e6	run27	300.059664331	20.1111491552	0.923679578467	551.565097849
1e6	run28	300.09105588	19.9705601114	1.03752167557	547.255017967
1e6	run29	300.190858219	20.1568930376	0.861827599596	547.026782101
1e6	run30	300.078822442	20.1016480294	1.00714600567	552.535113643
1e6	run31	300.008432189	20.2112519334	1.06010836471	539.651550077
1e6	run32	300.094856207	20.0344091066	0.999876483805	541.685830792
1e6	run33	300.105049033	20.0117060175	0.93766027026	512.111543027
1e6	run34	300.096735053	20.0497982815	1.10604729681	551.509112123
1e6	run35	300.138026884	20.0565363723	0.91241524567	557.327779684
1e6	run36	299.985012734	19.970969109	1.00241065073	537.360629368
1e6	run37	300.06467759	20.0614687638	0.883706392745	529.060750481
1e6	run38	300.002856607	19.9490456656	1.08165280086	553.083764304
1e6	run39	300.289668849	20.0299994113	0.840552737469	538.924598693
1e6	run40	300.247279444	19.9387321514	0.854673192344	534.360942785
1e6	run41	300.101541279	20.2658282403	1.02476603692	554.015665724
1e6	run42	300.12996825	20.0609394226	1.10510457344	516.282326501
1e6	run43	300.075833234	20.0058682154	1.09671234907	534.650259657
1e6	run44	300.145915109	19.9341630147	0.770796496631	526.284699513
1e6	run45	300.054531133	19.9802119526	0.950116970492	552.300020334
1e6	run46	299.981266527	19.9528944363	1.0652563392	549.696623644
1e6	run47	299.94174023	19.9416876967	1.02764214811	571.78904927
1e6	run48	299.895836126	20.1086319625	1.11136395177	550.788361557
1e6	run49	299.974718748	19.9417434791	0.999791917173	537.082735125
1e6	run50	300.003423822	20.0064503891	0.984810435138	548.849767749
3e6	run26	299.981265605	20.0613383458	3.09207696324	556.613752956
3e6	run27	300.122870482	20.1323837452	2.7896636855	514.732144688
3e6	run28	300.193121673	20.1303140988	2.93591450796	547.057338723
3e6	run29	300.214837789	19.9509044729	3.03984839115	550.155278265
3e6	run30	299.897460996	20.0040884537	2.91147610149	535.114551712
3e6	run31	300.107236486	20.2738572638	2.9659916847	541.850172068
3e6	run32	300.081615531	19.9961041367	3.06783854777	546.418268368
3e6	run33	300.038400552	20.0216690326	3.04401686248	555.795021874
3e6	run34	300.083232388	20.0299885707	2.83423879831	546.7421625
3e6	run35	299.897479346	19.8498273524	3.04029095955	544.350330368
3e6	run36	300.081911317	20.0501716919	2.8438373841	534.520281355
3e6	run37	299.94913333	20.1347504489	2.84191139559	560.60898148
3e6	run38	299.898961823	19.9391519031	3.05375967811	565.211776033
3e6	run39	299.931468769	20.0664869021	3.07949964705	546.304074514
3e6	run40	299.938975026	20.0964427864	2.95159294448	548.639015291
3e6	run41	300.062480395	19.920138313	2.98212445142	538.488295726
3e6	run42	300.057656678	20.0069095033	2.92672152243	551.775608248
3e6	run43	299.956927708	20.0720219184	3.13183838631	574.979647593
