layer,nr,cvs,kappas,type
0,112,-3.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,113,-3.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,114,-3.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,115,-3.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,116,-3.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,117,-3.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,118,-3.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,119,-3.00000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,120,-3.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,121,-3.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,122,-3.00000000*4.50000000,1.00000000e+00*1.00000000e+00,node
0,123,-3.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,124,-3.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,125,-3.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,126,-3.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,127,-3.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,128,-3.00000000*13.50000000,8.00000000e+00*8.00000000e+00,node
0,129,-1.50000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,130,-1.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,131,-1.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,132,-1.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,133,-1.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,134,-1.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,135,-1.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,136,-1.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,137,-1.50000000*-3.00000000,1.00000000e+00*1.00000000e+00,node
0,138,-1.50000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,139,-1.50000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,140,-1.50000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,141,-1.50000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,142,-1.50000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,143,-1.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,144,-1.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,145,-1.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,146,-1.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,147,-1.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,148,-1.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,149,0.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,150,0.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,151,0.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,152,0.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,153,0.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,154,0.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,155,0.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,156,0.00000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,157,0.00000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,158,0.00000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,159,0.00000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,160,0.00000000*3.00000000,1.00000000e+00*1.00000000e+00,node
0,161,0.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,162,0.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,163,0.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,164,0.00000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,165,0.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,166,0.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
