layer,nr,cvs,kappas,type
0,128,-12.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,129,-12.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,130,-12.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,131,-12.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,132,-12.00000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,133,-12.00000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,134,-12.00000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,135,-12.00000000*18.00000000,2.00000000e+00*2.00000000e+00,node
0,136,-10.50000000*-18.00000000,1.00000000e+00*1.00000000e+00,node
0,137,-10.50000000*-16.50000000,1.00000000e+00*1.00000000e+00,node
0,138,-10.50000000*-15.00000000,1.00000000e+00*1.00000000e+00,node
0,139,-10.50000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,140,-10.50000000*-12.00000000,8.00000000e+00*8.00000000e+00,node
0,141,-10.50000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,142,-10.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,143,-10.50000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,144,-10.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,145,-10.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,146,-10.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,147,-10.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,148,-10.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,149,-10.50000000*1.50000000,2.00000000e+00*2.00000000e+00,node
0,150,-10.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,151,-10.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,152,-10.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,153,-10.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,154,-10.50000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,155,-10.50000000*10.50000000,2.00000000e+00*2.00000000e+00,node
0,156,-10.50000000*12.00000000,2.00000000e+00*2.00000000e+00,node
0,157,-10.50000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,158,-10.50000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,159,-10.50000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,160,-10.50000000*18.00000000,1.00000000e+00*1.00000000e+00,node
0,161,-10.50000000*19.50000000,1.00000000e+00*1.00000000e+00,node
0,162,-9.00000000*-19.50000000,2.00000000e+00*2.00000000e+00,node
