layer,nr,cvs,kappas,type
0,164,-7.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,165,-7.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,166,-7.50000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,167,-7.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,168,-7.50000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
0,169,-7.50000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,170,-7.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,171,-7.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,172,-7.50000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,173,-7.50000000*0.00000000,1.60000000e+01*1.60000000e+01,node
0,174,-7.50000000*1.50000000,1.60000000e+01*1.60000000e+01,node
0,175,-7.50000000*3.00000000,1.60000000e+01*1.60000000e+01,node
0,176,-7.50000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,177,-7.50000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,178,-7.50000000*7.50000000,1.60000000e+01*1.60000000e+01,node
0,179,-7.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,180,-7.50000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,181,-7.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,182,-7.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,183,-7.50000000*15.00000000,8.00000000e+00*8.00000000e+00,node
0,184,-7.50000000*16.50000000,4.00000000e+00*4.00000000e+00,node
0,185,-7.50000000*18.00000000,2.00000000e+00*2.00000000e+00,node
0,186,-6.00000000*-19.50000000,2.00000000e+00*2.00000000e+00,node
0,187,-6.00000000*-18.00000000,2.00000000e+00*2.00000000e+00,node
0,188,-6.00000000*-16.50000000,4.00000000e+00*4.00000000e+00,node
0,189,-6.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,190,-6.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,191,-6.00000000*-12.00000000,8.00000000e+00*8.00000000e+00,node
0,192,-6.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,193,-6.00000000*-9.00000000,3.20000000e+01*3.20000000e+01,node
0,194,-6.00000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
0,195,-6.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,196,-6.00000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,197,-6.00000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,198,-6.00000000*-1.50000000,3.20000000e+01*3.20000000e+01,node
