layer,nr,cvs,kappas,type
0,128,-6.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,129,-6.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,130,-6.00000000*7.50000000,3.20000000e+01*3.20000000e+01,node
0,131,-6.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,132,-6.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,133,-6.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,134,-6.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,135,-6.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,136,-4.50000000*-16.50000000,1.60000000e+01*1.60000000e+01,node
0,137,-4.50000000*-15.00000000,1.60000000e+01*1.60000000e+01,node
0,138,-4.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,139,-4.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,140,-4.50000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,141,-4.50000000*-9.00000000,1.60000000e+01*1.60000000e+01,node
0,142,-4.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,143,-4.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,144,-4.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,145,-4.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,146,-4.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,147,-4.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,148,-4.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,149,-4.50000000*3.00000000,1.60000000e+01*1.60000000e+01,node
0,150,-4.50000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,151,-4.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,152,-4.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,153,-4.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,154,-4.50000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,155,-4.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,156,-4.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,157,-4.50000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,158,-4.50000000*16.50000000,8.00000000e+00*8.00000000e+00,node
0,159,-3.00000000*-16.50000000,2.00000000e+00*2.00000000e+00,node
0,160,-3.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,161,-3.00000000*-13.50000000,1.60000000e+01*1.60000000e+01,node
0,162,-3.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,163,-3.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,164,-3.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,165,-3.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,166,-3.00000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,167,-3.00000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,168,-3.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,169,-3.00000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,170,-3.00000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,171,-3.00000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,172,-3.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,173,-3.00000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,174,-3.00000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,175,-3.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,176,-3.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,177,-3.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,178,-3.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,179,-3.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,180,-3.00000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,181,-3.00000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,182,-1.50000000*-18.00000000,4.00000000e+00*4.00000000e+00,node
0,183,-1.50000000*-16.50000000,2.00000000e+00*2.00000000e+00,node
0,184,-1.50000000*-15.00000000,1.00000000e+00*1.00000000e+00,node
0,185,-1.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,186,-1.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,187,-1.50000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
0,188,-1.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,189,-1.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,190,-1.50000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,191,-1.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,192,-1.50000000*-3.00000000,1.00000000e+00*1.00000000e+00,node
0,193,-1.50000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,194,-1.50000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,195,-1.50000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,196,-1.50000000*3.00000000,1.00000000e+00*1.00000000e+00,node
0,197,-1.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,198,-1.50000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,199,-1.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,200,-1.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,201,-1.50000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,202,-1.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,203,-1.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,204,-1.50000000*15.00000000,2.00000000e+00*2.00000000e+00,node
0,205,-1.50000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,206,-1.50000000*18.00000000,4.00000000e+00*4.00000000e+00,node
0,207,0.00000000*-18.00000000,8.00000000e+00*8.00000000e+00,node
0,208,0.00000000*-16.50000000,4.00000000e+00*4.00000000e+00,node
0,209,0.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,210,0.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,211,0.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,212,0.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,213,0.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,214,0.00000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
0,215,0.00000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,216,0.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,217,0.00000000*-3.00000000,1.00000000e+00*1.00000000e+00,node
0,218,0.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,219,0.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,220,0.00000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,221,0.00000000*3.00000000,1.00000000e+00*1.00000000e+00,node
0,222,0.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,223,0.00000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,224,0.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,225,0.00000000*9.00000000,1.60000000e+01*1.60000000e+01,node
0,226,0.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,227,0.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,228,0.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
