Langevin with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<T> [K]	sigma_T [K]	<P> [MPa]	sigma_P [MPa]
1e7	run30	299.749236243	19.9837537687	9.77546781473	529.523021989
1e7	run31	299.477381789	19.8876093486	9.9325007033	526.684308969
1e7	run32	299.350870988	19.7060079941	10.0015892982	534.215430537
1e7	run33	299.969287508	19.7083453103	9.86558048789	532.221262784
1e7	run34	299.674718114	19.9377859381	9.90933657337	532.371374652
1e7	run35	299.747967159	19.8994510391	9.83601116716	535.517062473
1e7	run36	299.576386762	19.7548330524	10.0592260539	533.030121403
1e7	run37	300.151470828	19.809045016	9.9327868621	532.325496274
1e7	run38	299.322603849	19.8711672871	9.98445882043	530.933156832
1e7	run39	299.545057352	19.8550169139	9.91904545499	532.200617357
1e7	run40	300.178598392	19.7877289062	9.85390185543	532.582772649
1e7	run41	299.887055757	19.8131445683	9.87391276364	532.704190725
1e7	run42	300.001191947	19.7179722054	9.84174701143	528.172234663
1e7	run43	300.007055601	20.1649446229	9.83027912105	530.323678481
1e7	run44	300.05678109	19.9454268351	9.97152870927	532.618715576
1e7	run45	300.248616184	20.0377972788	9.83221047082	531.882068815
1e7	run46	299.697632466	19.9660645606	9.7743226097	531.93970811
1e7	run47	299.745048185	20.0052237294	9.95274573116	535.054999685
1e7	run48	299.821339868	19.954580125	9.96182622037	531.764428772
1e7	run49	300.170887446	19.8821731467	9.98276229087	530.616614761
1e7	run50	299.91087733	19.7498665639	9.66495166898	531.209873639
3e7	run26	299.749183765	19.7915055265	29.8335858914	533.438608347
3e7	run27	299.811876077	19.8718071724	29.867532869	533.298737925
3e7	run28	299.951143623	19.7715759146	29.800866315	537.271458033
3e7	run29	300.268099203	19.8876883259	29.9138439046	534.430374184
3e7	run30	299.354085359	19.8801051743	30.0135882458	535.177679827
3e7	run31	299.326535244	19.759873177	29.8206386899	534.331573076
3e7	run32	299.325296706	19.818968154	29.9710269443	539.753802857
3e7	run33	299.991103577	19.8216654951	30.166937605	534.814298779
3e7	run34	299.98707925	19.8580326559	29.8358004415	538.836439387
3e7	run35	299.981294589	19.7941846229	29.8791792829	531.805746531
3e7	run36	299.620246919	19.9111745809	29.7874593314	531.720855248
3e7	run37	299.399517895	19.823510058	29.7988831366	538.901434179
3e7	run38	299.488049645	19.8113225634	29.9041927881	535.558630819
3e7	run39	300.165754158	19.8658359208	29.8302546064	532.447301318
3e7	run40	299.92532159	19.8513191687	29.9093379148	531.725099299
3e7	run41	299.136487761	19.8950836472	29.9630284289	536.938961884
3e7	run42	299.839123338	19.9152628213	29.9925344637	539.697274488
3e7	run43	300.029292251	19.9347904949	29.8617591959	537.206897042
3e7	run44	300.103898397	19.8528787256	29.9515989657	534.933001982
3e7	run45	299.948909068	19.8464300881	29.8537150919	534.887579057
